"Number_of_Vehicles","Accident_Date","Time_24hr_","First_Road_Class","Road_Surface","Lighting_Conditions","Weather_Conditions","Type_of_Vehicle","Casualty_Class","Casualty_Severity","Sex_of_Casualty","Age_of_Casualty"
1,2017-11-08,"21:00","U","Wet",4,1,9,2,3,1,25
1,2017-11-09,"17:30","U","Wet",4,1,1,1,3,1,27
1,2017-11-11,"18:58","M","Dry",4,1,9,1,2,2,26
2,2017-11-13,"16:44","U","Dry",4,1,9,1,3,2,56
2,2017-11-14,"14:20","A","Dry",1,1,9,1,3,2,61
2,2017-11-19,"10:30","U","Dry",1,1,9,1,3,2,62
2,2017-11-19,"15:15","A","Dry",1,1,19,2,2,1,47
2,2017-11-20,"19:30","U","Wet",4,1,9,1,3,2,NA
2,2017-11-23,"16:10","M","Wet",4,2,9,1,3,1,51
2,2017-11-24,"14:07","A","Wet",1,1,9,1,3,1,37
2,2017-11-25,"13:30","U","Wet",1,1,9,1,3,1,66
1,2017-11-27,"13:08","U","Wet",1,1,9,3,3,1,14
2,2017-11-28,"08:50","U","Dry",1,1,3,1,3,1,27
2,2017-11-28,"14:26","A","Dry",1,1,9,1,3,2,35
1,2017-11-28,"15:35","U","Wet",1,1,9,3,3,1,6
1,2017-11-29,"18:35","U","Wet",4,1,97,3,3,1,75
1,2017-11-30,"16:35","U","Wet",4,1,9,3,3,1,10
2,2017-12-01,"10:55","A","Wet",1,1,9,1,3,1,73
2,2017-12-01,"17:00","U","Dry",4,1,9,1,3,1,44
2,2017-12-04,"08:50","A","Wet",1,1,9,2,2,1,12
2,2017-12-01,"17:45","M","Dry",4,1,9,1,3,1,60
2,2017-12-05,"11:20","A","Dry",1,1,19,1,3,1,18
3,2017-12-06,"13:57","U","Dry",1,1,9,1,2,1,88
2,2017-12-07,"08:29","U","Dry",1,1,9,1,3,1,35
2,2017-12-08,"08:15","U","Snow",1,1,9,1,3,2,67
2,2017-12-09,"15:21","U","Wet",1,1,9,2,3,2,50
1,2017-12-12,"08:20","U","Wet",1,1,8,3,3,1,15
2,2017-12-12,"12:00","A","Wet",1,1,9,1,3,2,83
1,2017-12-14,"05:21","U","Ice",4,8,9,1,3,2,46
2,2017-12-13,"13:25","A","Wet",1,1,8,1,3,1,36
1,2017-12-14,"16:17","U","Dry",1,1,9,3,3,1,14
2,2017-12-15,"14:46","M","Dry",1,1,9,1,3,2,58
2,2017-12-16,"13:02","M","Ice",1,1,9,2,2,1,23
1,2017-12-18,"14:10","A","Dry",1,1,9,1,3,1,67
1,2017-12-19,"15:30","U","Dry",1,1,9,3,3,2,15
1,2017-12-21,"18:15","A","Wet",4,2,11,3,1,1,49
2,2017-12-22,"08:18","U","Wet",1,1,1,1,3,1,38
2,2017-12-24,"19:30","A","Wet",4,1,9,1,2,1,72
2,2017-12-26,"12:17","A","Dry",1,1,9,2,3,2,74
2,2017-12-27,"18:59","U","Wet",4,1,9,1,3,2,88
3,2017-12-27,"20:53","U","Wet",4,1,9,1,2,2,31
1,2017-12-28,"11:32","U","Dry",1,1,9,3,3,1,9
3,2017-12-28,"20:20","A","Ice",4,1,9,1,2,1,24
2,2017-12-31,"13:31","U","Dry",1,1,9,1,3,1,28
1,2016-01-01,"00:52","A","Wet/Damp",4,1,8,3,3,1,27
1,2016-01-01,"12:04","U","Wet/Damp",1,1,9,1,3,2,87
2,2016-01-01,"14:00","U","Dry",1,1,9,1,3,1,23
1,2016-01-02,"16:30","A","Wet/Damp",4,2,9,3,3,2,65
2,2016-01-03,"17:00","A","Wet/Damp",4,2,1,1,3,1,24
2,2016-01-06,"07:34","U","Wet/Damp",4,1,3,1,3,1,26
2,2016-01-06,"09:50","A","Wet/Damp",1,1,9,1,3,2,82
2,2016-01-06,"09:50","A","Wet/Damp",1,1,21,1,3,1,32
2,2016-01-07,"08:46","A","Wet/Damp",1,2,9,1,3,2,25
1,2016-01-07,"16:00","A","Dry",1,1,9,3,3,1,34
1,2016-01-08,"12:00","A","Dry",1,1,19,3,3,2,36
1,2016-01-13,"18:56","U","Wet/Damp",1,1,2,1,2,1,27
2,2016-01-14,"08:31","M","Wet/Damp",1,1,9,1,3,1,63
2,2016-01-14,"13:20","A","Dry",1,1,1,1,1,1,55
1,2016-01-15,"12:02","A","Dry",1,1,21,3,2,2,87
2,2016-01-15,"15:36","U","Wet/Damp",1,1,9,1,3,1,29
1,2016-01-16,"13:10","U","Dry",1,1,9,3,3,1,60
1,2016-01-16,"20:54","U","Snow",4,3,8,2,3,2,29
1,2016-01-16,"21:01","M","Snow",4,3,9,1,3,2,18
1,2016-01-17,"20:40","U","Wet/Damp",6,1,90,1,2,1,33
2,2016-01-18,"16:35","U","Dry",4,9,9,1,3,1,23
1,2016-01-20,"09:11","U","Wet/Damp",1,1,9,3,3,2,33
1,2016-01-22,"09:00","U","Wet/Damp",1,1,8,2,3,1,16
1,2016-01-22,"09:00","U","Wet/Damp",1,1,8,2,3,2,11
1,2016-01-22,"09:00","U","Wet/Damp",1,1,8,2,3,1,12
2,2016-01-22,"09:15","M","Dry",1,1,9,1,3,1,47
2,2016-01-25,"14:10","A","Dry",1,1,9,2,3,2,30
1,2016-01-26,"15:33","U","Wet/Damp",1,1,9,3,3,1,25
1,2016-01-26,"17:08","U","Wet/Damp",4,5,9,3,3,1,49
2,2016-01-27,"17:28","U","Wet/Damp",4,5,3,1,3,1,27
2,2016-01-28,"20:50","U","Dry",4,9,9,1,3,2,20
1,2016-01-30,"15:15","U","Dry",1,9,9,3,3,2,66
1,2016-01-30,"23:31","M","Snow",4,6,9,2,3,2,31
2,2016-01-31,"14:55","A","Wet/Damp",1,1,9,3,3,2,16
2,2016-02-02,"08:30","U","Dry",1,1,9,1,3,1,55
1,2016-02-04,"16:36","A","Dry",1,9,9,3,3,2,5
1,2016-02-06,"13:25","A","Wet/Damp",1,5,9,1,3,2,55
2,2016-01-27,"16:24","M","Dry",4,9,9,1,3,2,55
2,2016-02-08,"14:30","A","Wet/Damp",1,2,1,1,3,1,55
1,2016-02-09,"16:18","U","Wet/Damp",1,1,3,1,3,1,19
3,2016-02-09,"19:34","A","Wet/Damp",4,1,9,1,2,1,54
1,2016-02-10,"14:02","A","Dry",1,9,9,3,3,1,50
1,2016-02-11,"06:45","A","Frost/Ice",4,1,9,1,3,1,21
2,2016-02-11,"19:10","U","Dry",4,1,9,2,3,1,26
1,2016-02-15,"11:50","A","Dry",1,1,9,3,3,2,13
2,2016-02-16,"09:00","A","Dry",1,1,19,1,3,1,74
1,2016-02-16,"21:10","A","Wet/Damp",5,2,9,1,3,1,18
5,2016-02-18,"10:28","U","Dry",1,1,9,2,3,2,26
5,2016-02-18,"10:28","U","Dry",1,1,9,1,3,1,37
5,2016-02-18,"10:28","U","Dry",1,1,9,2,3,2,36
5,2016-02-18,"10:28","U","Dry",1,1,9,1,3,2,34
2,2016-02-19,"16:25","B","Wet/Damp",1,2,1,1,3,1,24
2,2016-02-19,"21:00","A","Wet/Damp",4,2,9,1,3,2,33
2,2016-02-20,"15:30","B","Dry",1,1,9,1,2,2,46
2,2016-02-20,"15:30","B","Wet/Damp",1,2,9,1,3,2,32
